,name,idx,url
35,Beijing US,3303,http://aqicn.org/city/beijing/us-embassy/
36,,13327,http://aqicn.org/city/beijing/fengtaixiaotun/
37,,13329,http://aqicn.org/city/beijing/miyunxincheng/
38,,13330,http://aqicn.org/city/beijing/pingguxincheng/
39,,13334,http://aqicn.org/city/beijing/changpingnanshao/
40,,13335,http://aqicn.org/city/beijing/haidiansijiqing/
41,,13336,http://aqicn.org/city/beijing/shijingshanlaoshan/
44,Putuo Monitoring,481,http://aqicn.org/city/shanghai/putuojiancezhan/
45,y,482,http://aqicn.org/city/shanghai/yangpusipiao/
46,l,483,http://aqicn.org/city/shanghai/luwanshizhuanfuxiao/
47,Qingpu Dianshan,484,http://aqicn.org/city/shanghai/qingpudianshanhu/
48,Hongkou Liangcheng,485,http://aqicn.org/city/shanghai/hongkouliangcheng/
49,Jing,486,http://aqicn.org/city/shanghai/jinganjiancezhan/
50,x,487,http://aqicn.org/city/shanghai/xuhuishangshida/
51,p,488,http://aqicn.org/city/shanghai/pudongchuansha/
52,p,489,http://aqicn.org/city/shanghai/pudongzhangjiang/
53,Pudong Monitoring,490,http://aqicn.org/city/shanghai/pudongjiancezhan/
54,City average,491,http://aqicn.org/city/shanghai/quanshipingjun/
55,Pudong Zhoupu,10185,http://aqicn.org/city/shanghai/pudongzhoupu/
56,Pudong Huinan,10186,http://aqicn.org/city/shanghai/pudonghuinan/
57,People,10187,http://aqicn.org/city/shanghai/renminguangchang/
58,Huangpu Ruijin,10188,http://aqicn.org/city/shanghai/huangpuruijin/
59,Jing,10189,http://aqicn.org/city/shanghai/jinganqiyizhongxue/
60,Jing,10190,http://aqicn.org/city/shanghai/jinganhetianzhongxue/
61,Jing,10191,http://aqicn.org/city/shanghai/jinganshibeigaoxin/
62,Xujiahui,10192,http://aqicn.org/city/shanghai/xujiahui/
63,Changning Xianxia,10193,http://aqicn.org/city/shanghai/changningxianxia/
64,Changning Chengqiao,10194,http://aqicn.org/city/shanghai/changningchengqiao/
65,Changning Huayang,10195,http://aqicn.org/city/shanghai/changninghuayang/
66,Putuo Taopu,10196,http://aqicn.org/city/shanghai/putuotaopu/
67,Hongkou Jiaxing,10197,http://aqicn.org/city/shanghai/hongkoujiaxing/
68,Yangpu Monitoring,10198,http://aqicn.org/city/shanghai/yangpujiancezhan/
69,Yangpu New,10199,http://aqicn.org/city/shanghai/yangpuxinjiangwancheng/
70,Baoshan Yangxing,10200,http://aqicn.org/city/shanghai/baoshanyangxing/
71,Baoshan Luodian,10201,http://aqicn.org/city/shanghai/baoshanluodian/
72,Baoshan Temple,10202,http://aqicn.org/city/shanghai/baoshanmiaoxing/
73,Minhang Jiangchuan,10203,http://aqicn.org/city/shanghai/minxingjiangchuan/
74,Minhang Pujiang,10204,http://aqicn.org/city/shanghai/minxingpujiang/
75,Jiading Monitoring,10205,http://aqicn.org/city/shanghai/jiadingjiancezhan/
76,Jiading Tianhua,10206,http://aqicn.org/city/shanghai/jiadingtianhuaxueyuan/
77,Jiading Fangtai,10207,http://aqicn.org/city/shanghai/jiadingfangtai/
78,Jiading Nanxiang,10208,http://aqicn.org/city/shanghai/jiadingnanxiang/
79,j,10209,http://aqicn.org/city/shanghai/jinshanzhujing/
80,Jinshan New,10210,http://aqicn.org/city/shanghai/jinshanxincheng/
81,j,10211,http://aqicn.org/city/shanghai/jinshanlangxia/
82,Jinshan Fengjing,10212,http://aqicn.org/city/shanghai/jinshanfengjing/
83,Songjiang Jingde,10213,http://aqicn.org/city/shanghai/songjiangjingdelu/
84,Songjiang Library,10214,http://aqicn.org/city/shanghai/songjiangtushuguan/
85,Songjiang Zhongchen,10215,http://aqicn.org/city/shanghai/songjiangzhongchenlu/
86,Qingpu Xiayang,10216,http://aqicn.org/city/shanghai/qingpuxiayang/
87,Qingpu Zhujiajiao,10217,http://aqicn.org/city/shanghai/qingpuzhujiajiao/
88,Qingpu Yingpu,10218,http://aqicn.org/city/shanghai/qingpuyingpu/
89,Fengxian South,10219,http://aqicn.org/city/shanghai/fengxiannanqiao/
90,Fengxian Bay,10220,http://aqicn.org/city/shanghai/fengxianhaiwan/
91,Fengxian Nanqiao,10221,http://aqicn.org/city/shanghai/fengxiannanqiaoxincheng/
92,Fengxian Fengpu,10222,http://aqicn.org/city/shanghai/fengxianfengpu/
93,Chongming City,10223,http://aqicn.org/city/shanghai/chongmingchengqiao/
94,ch,10224,http://aqicn.org/city/shanghai/chongminglvhua/
95,Chongming Forest,10225,http://aqicn.org/city/shanghai/chongmingsenlingongyuan/
96,Chongming Shangshi,10226,http://aqicn.org/city/shanghai/chongmingshangshidongtan/
97,Shanghai US,3304,http://aqicn.org/city/shanghai/us-consulate/
98,Yantian,914,http://aqicn.org/city/shenzhen/yantian/
99,Xiapi,915,http://aqicn.org/city/shenzhen/xiabei/
100,Kwai Chung,916,http://aqicn.org/city/shenzhen/xixiang/
101,Songgang,917,http://aqicn.org/city/shenzhen/songgang/
102,Shajing,918,http://aqicn.org/city/shenzhen/shajing/
103,Pingshan,919,http://aqicn.org/city/shenzhen/pingshan/
104,Nanyou,920,http://aqicn.org/city/shenzhen/nanyou/
105,Nan,921,http://aqicn.org/city/shenzhen/nanao/
106,Meisha,922,http://aqicn.org/city/shenzhen/meisha/
107,Longhua,923,http://aqicn.org/city/shenzhen/longhua/
108,Xi xiang,924,http://aqicn.org/city/shenzhen/longgang/
109,Liyuan,925,http://aqicn.org/city/shenzhen/liyuan/
110,Kwai Chung,926,http://aqicn.org/city/shenzhen/kuiyong/
111,OCT,927,http://aqicn.org/city/shenzhen/huaqiaocheng/
112,Honghu,928,http://aqicn.org/city/shenzhen/honghu/
113,Henggang,929,http://aqicn.org/city/shenzhen/henggang/
114,Guangming,930,http://aqicn.org/city/shenzhen/guangming/
115,Mission Hills,931,http://aqicn.org/city/shenzhen/guanlan/
116,Fuyong,932,http://aqicn.org/city/shenzhen/fuyong/
117,Guangzhou,1449,http://aqicn.org/city/guangzhou/
118,L,771,http://aqicn.org/city/guangdong/guangzhou/liwanxicun/
119,G,772,http://aqicn.org/city/guangdong/guangzhou/gongyuanqian/
120,H,773,http://aqicn.org/city/guangdong/guangzhou/haizhubaogang/
121,Ti,774,http://aqicn.org/city/guangdong/guangzhou/tianhecheng/
122,H,775,http://aqicn.org/city/guangdong/guangzhou/haizhuchisha/
123,Hu,776,http://aqicn.org/city/guangdong/guangzhou/huangpudashadi/
124,P,777,http://aqicn.org/city/guangdong/guangzhou/fanyushiqiao/
125,Huadu town,778,http://aqicn.org/city/guangdong/guangzhou/huaduchengqu/
126,Luogang Zhenlong,779,http://aqicn.org/city/guangdong/guangzhou/luogangzhenlong/
127,LuHu,780,http://aqicn.org/city/guangdong/guangzhou/luhu/
128,Tianhu,781,http://aqicn.org/city/guangdong/guangzhou/tianhu/
129,Zhudong,782,http://aqicn.org/city/guangdong/guangzhou/zhudong/
130,Modiesha station,783,http://aqicn.org/city/guangdong/guangzhou/modieshazhan/
131,D,784,http://aqicn.org/city/guangdong/zhuhai/doumen/
132,J,785,http://aqicn.org/city/guangdong/zhuhai/jida/
133,Qi,786,http://aqicn.org/city/guangdong/zhuhai/qianshan/
134,T,787,http://aqicn.org/city/guangdong/zhuhai/tangjia/
135,Hu,788,http://aqicn.org/city/guangdong/fushan/huijingcheng/
136,W,789,http://aqicn.org/city/guangdong/fushan/wanliang/
137,Huicai technical,790,http://aqicn.org/city/guangdong/fushan/huacaizhizhong/
138,Sanshuiyun donghai,791,http://aqicn.org/city/guangdong/fushan/sanshuiyundonghai/
139,Nanhai Bureau,792,http://aqicn.org/city/guangdong/fushan/nanhaiqixiangju/
140,G,793,http://aqicn.org/city/guangdong/fushan/gaomingkongtang/
141,Sanshui Monitoring,794,http://aqicn.org/city/guangdong/fushan/sanshuijiancezhan/
142,Sh,795,http://aqicn.org/city/guangdong/shunde/shundesugang/
143,Ronggui street,796,http://aqicn.org/city/guangdong/shunde/rongguijiedaoban/
144,Jinjuzui,797,http://aqicn.org/city/guangdong/shunde/jinjieju/
145,Donghu,798,http://aqicn.org/city/guangdong/jiangmen/donghu/
146,Taoyuan Atmosphere,799,http://aqicn.org/city/guangdong/jiangmen/taoyuandaqichaojizhan/
147,Du,800,http://aqicn.org/city/guangdong/jiangmen/duanfen/
148,Shu,801,http://aqicn.org/city/guangdong/jiangmen/shuangqiao/
149,Xiq,802,http://aqicn.org/city/guangdong/jiangmen/xiqu/
150,B,803,http://aqicn.org/city/guangdong/jiangmen/beijie/
151,Gu,804,http://aqicn.org/city/guangdong/jiangmen/guifengxi/
152,Kengkouzi station,805,http://aqicn.org/city/guangdong/zhaoqing/kangkouzizhan/
153,Mugangzi station,806,http://aqicn.org/city/guangdong/zhaoqing/mugangzizhan/
154,Qixingyanzi station,807,http://aqicn.org/city/guangdong/zhaoqing/qixingyanzizhan/
155,Chengzhongzi station,808,http://aqicn.org/city/guangdong/zhaoqing/chengzhongzizhan/
156,Jinguo Bay,809,http://aqicn.org/city/guangdong/huizhou/jinguowan/
157,Xiabu,810,http://aqicn.org/city/guangdong/huizhou/xiapu/
158,Xijiao,811,http://aqicn.org/city/guangdong/huizhou/xijiao/
159,Henan,812,http://aqicn.org/city/guangdong/huizhou/henanan/
160,Jiangbei,813,http://aqicn.org/city/guangdong/huizhou/jiangbei/
161,Huiyang chuanhu,814,http://aqicn.org/city/guangdong/huizhou/huiyangchuanhu/
162,Daya bay,815,http://aqicn.org/city/guangdong/huizhou/dayawanguanweihui/
163,Guancheng No,816,http://aqicn.org/city/guangdong/dongguan/guanchengershuichang/
164,Experimental Middle,817,http://aqicn.org/city/guangdong/dongguan/shiyanzhongxue/
165,Dongcheng Shijing,818,http://aqicn.org/city/guangdong/dongguan/dongchengshijing/
166,Nancheng Xiping,819,http://aqicn.org/city/guangdong/dongguan/nanchengxiping/
167,Nancheng Yuanling,820,http://aqicn.org/city/guangdong/dongguan/nanchengyuanling/
168,Zimaling,821,http://aqicn.org/city/guangdong/zhongshan/zimaling/
169,Yangtze River,822,http://aqicn.org/city/guangdong/zhongshan/changjianglvyouqu/
170,Huabai Park,823,http://aqicn.org/city/guangdong/zhongshan/huabaiyuan/
171,Zhangxi,824,http://aqicn.org/city/guangdong/zhongshan/zhangxi/
172,No,4250,http://aqicn.org/city/guangdong/shaoguan/shibazhong/
173,B,4251,http://aqicn.org/city/guangdong/shaoguan/bihushanzhuang/
174,Forest area,4252,http://aqicn.org/city/guangdong/shaoguan/yuanlinchu/
175,Shaoguan University,4253,http://aqicn.org/city/guangdong/shaoguan/shaoguanxueyuan/
176,Qujiang Monitoring,4254,http://aqicn.org/city/guangdong/shaoguan/qujiangjiancezhan/
177,J,4255,http://aqicn.org/city/guangdong/shantou/jinpingzizhan/
178,L,4256,http://aqicn.org/city/guangdong/shantou/longhuzizhan/
179,H,4257,http://aqicn.org/city/guangdong/shantou/haojiangzizhan/
180,Ch,4258,http://aqicn.org/city/guangdong/shantou/chenghaizizhan/
181,Ch,4259,http://aqicn.org/city/guangdong/shantou/chaoyangzizhan/
182,City Environmental,4260,http://aqicn.org/city/guangdong/zhanjiang/shihuanjingjiancezhan/
183,EPB Dormitory,4261,http://aqicn.org/city/guangdong/zhanjiang/huanbaojusushe/
184,Xiashan Swimming,4262,http://aqicn.org/city/guangdong/zhanjiang/xiashanyouyongchang/
185,Zhanjiang Theatre,4263,http://aqicn.org/city/guangdong/zhanjiang/zhanjiangyingjuyuan/
186,Maogang sub,4264,http://aqicn.org/city/guangdong/maoming/shihuanbaojumaogangfenju/
187,Petrochemical No,4265,http://aqicn.org/city/guangdong/maoming/maoshihuaqixiao/
188,Jiankang road,4266,http://aqicn.org/city/guangdong/maoming/jiankanglu/
189,Jiaying University,4267,http://aqicn.org/city/guangdong/meizhou/jiayingdaxue/
190,Mexian new,4268,http://aqicn.org/city/guangdong/meizhou/meixianxincheng/
191,Environmental Monitoring,4269,http://aqicn.org/city/guangdong/meizhou/huanjingjiankongzhongxin/
193,City government,4271,http://aqicn.org/city/guangdong/shanwei/shizhengfu/
194,Xincheng Middle,4272,http://aqicn.org/city/guangdong/shanwei/xinchengzhongxue/
195,No,4273,http://aqicn.org/city/guangdong/heyuan/shisanxiao/
196,City water,4274,http://aqicn.org/city/guangdong/heyuan/shizilaishuichang/
197,Heyuan high,4275,http://aqicn.org/city/guangdong/heyuan/heyuanzhongxue/
198,Yuanyang Lake,4276,http://aqicn.org/city/guangdong/yangjiang/yuanyanghu/
199,Nan,4278,http://aqicn.org/city/guangdong/yangjiang/nanenlu/
200,Town governement,4279,http://aqicn.org/city/guangdong/qingyuan/chengquzhengfu/
201,Fupin district,4280,http://aqicn.org/city/guangdong/qingyuan/fupinqu/
202,Environment protection,4281,http://aqicn.org/city/guangdong/qingyuan/huanbaoju/
203,Xiyuan Road,4282,http://aqicn.org/city/guangdong/chaozhou/xiyuanlu/
204,Archives Bureau,4283,http://aqicn.org/city/guangdong/chaozhou/danganju/
205,Municipal Corporation,4284,http://aqicn.org/city/guangdong/chaozhou/shizhenggongsi/
206,Donghu Park,4285,http://aqicn.org/city/guangdong/jieyang/donghugongyuan/
207,Yuhu Middle,4286,http://aqicn.org/city/guangdong/jieyang/yuhuchujizhongxue/
208,Experimental Primary,4287,http://aqicn.org/city/guangdong/jieyang/shiyanxiaoxue/
209,Xian ji,4288,http://aqicn.org/city/guangdong/jieyang/xianjiao/
210,City Environmental,4289,http://aqicn.org/city/guangdong/yunfu/shihuanjingjiancezhan/
211,The new,4290,http://aqicn.org/city/guangdong/yunfu/xinshifuzhihuibu/
212,Muyang police,4291,http://aqicn.org/city/guangdong/yunfu/muyangpaichusuo/
213,Chaonanzi Station,4292,http://aqicn.org/city/guangdong/shantou/chaonanzizhan/
214,Mazhang EPA,4293,http://aqicn.org/city/guangdong/zhanjiang/mazhangquhuanbaoju/
215,Potou District,4294,http://aqicn.org/city/guangdong/zhanjiang/potouquhuanbaoju/
216,Gaoling,4295,http://aqicn.org/city/guangdong/maoming/gaoling/
217,Maofengshan Forest,4842,http://aqicn.org/city/guangdong/guangzhou/maofengshansenlingongyuan/
218,m,4843,http://aqicn.org/city/guangdong/yangjiang/manandong/
219,w,4850,http://aqicn.org/city/guangdong/guangzhou/wanqingsha/
220,n,6947,http://aqicn.org/city/guangdong/shantou/nanaoxianzizhan/
221,Jinjuzui,7026,http://aqicn.org/city/guangdong/fushan/jinjieju/
222,Sh,7027,http://aqicn.org/city/guangdong/fushan/shundesugang/
223,Ronggui street,7028,http://aqicn.org/city/guangdong/fushan/rongguijiedaoban/
224,Dongpu,7029,http://aqicn.org/city/guangdong/heyuan/dongpu/
225,yu,7030,http://aqicn.org/city/guangdong/heyuan/yuanxi/
226,Old Town,7031,http://aqicn.org/city/guangdong/heyuan/laocheng/
227,High,7032,http://aqicn.org/city/guangdong/qingyuan/gaoxinqu/
228,EPA building,7033,http://aqicn.org/city/guangdong/qingyuan/huanbaodalou/
229,gu,7034,http://aqicn.org/city/guangdong/dongguan/guanchenglichuan/
230,d,7035,http://aqicn.org/city/guangdong/dongguan/dongchengzhushan/
231,y,7036,http://aqicn.org/city/guangdong/jieyang/yuhu/
232,x,7037,http://aqicn.org/city/guangdong/jieyang/xinxing/
233,d,7038,http://aqicn.org/city/guangdong/jieyang/dongxing/
234,x,7039,http://aqicn.org/city/guangdong/jieyang/xima/
235,t,8318,http://aqicn.org/city/guangdong/guangzhou/tiyuxi/
236,p,9841,http://aqicn.org/city/guangdong/guangzhou/fanyuzhongxue/
237,hu,9842,http://aqicn.org/city/guangdong/guangzhou/huadushifan/
238,ji,9843,http://aqicn.org/city/guangdong/guangzhou/jiulongzhenzhenlong/
239,gu,9844,http://aqicn.org/city/guangdong/guangzhou/guangyazhongxue/
240,City Monitoring,9845,http://aqicn.org/city/guangdong/guangzhou/shijiancezhan/
241,sh,9846,http://aqicn.org/city/guangdong/guangzhou/shiwuzhong/
242,gu,9847,http://aqicn.org/city/guangdong/guangzhou/guangdongshangxueyuan/
243,sh,9848,http://aqicn.org/city/guangdong/guangzhou/shibashiliuzhong/
244,ch,9849,http://aqicn.org/city/guangdong/jiangmen/chaojizhan/
245,hu,9850,http://aqicn.org/city/guangdong/huizhou/huiyangquchengxiuluchuanhu/
246,h,9851,http://aqicn.org/city/guangdong/huizhou/henananjinshanhu/
247,xi,9852,http://aqicn.org/city/guangdong/huizhou/xiapuhengjiangsanlu/
248,ji,9853,http://aqicn.org/city/guangdong/huizhou/jiangbeiyunshanxilu/
249,Fengcheng Subdistrict,9854,http://aqicn.org/city/guangdong/qingyuan/fengchengjieban/
250,Technician college,9855,http://aqicn.org/city/guangdong/qingyuan/jishixueyuan/
251,City government,9856,http://aqicn.org/city/guangdong/chaozhou/shizhengfu/
252,x,9857,http://aqicn.org/city/guangdong/yunfu/xinshifu/
253,m,9858,http://aqicn.org/city/guangdong/yunfu/muyang/
254,H,3481,http://aqicn.org/city/china/shantou/haojiangzizhan/
255,J,3482,http://aqicn.org/city/china/shantou/jinpingzizhan/
256,Chaonanzi Station,4692,http://aqicn.org/city/china/shantou/chaonanzizhan/
257,Ch,3484,http://aqicn.org/city/china/shantou/chenghaizizhan/
258,Ch,3485,http://aqicn.org/city/china/shantou/chaoyangzizhan/
259,L,3486,http://aqicn.org/city/china/shantou/longhuzizhan/
260,B,3487,http://aqicn.org/city/china/shaoguan/bihushanzhuang/
261,No,3488,http://aqicn.org/city/china/shaoguan/shibazhong/
262,Forest area,3489,http://aqicn.org/city/china/shaoguan/yuanlinchu/
263,Qujiang Monitoring,3490,http://aqicn.org/city/china/shaoguan/qujiangjiancezhan/
264,Shaoguan University,3491,http://aqicn.org/city/china/shaoguan/shaoguanxueyuan/
265,Environment protection,3507,http://aqicn.org/city/china/qingyuan/huanbaoju/
266,Fengcheng Subdistrict,3508,http://aqicn.org/city/china/qingyuan/fengchengjieban/
267,Fupin district,3509,http://aqicn.org/city/china/qingyuan/fupinqu/
268,City water,3510,http://aqicn.org/city/china/heyuan/shizilaishuichang/
270,Heyuan high,3512,http://aqicn.org/city/china/heyuan/heyuanzhongxue/
271,Shaoguan,1538,http://aqicn.org/city/shaoguan/
272,Zhuhai,1540,http://aqicn.org/city/zhuhai/
273,Shantou,1541,http://aqicn.org/city/shantou/
274,Foshan,1542,http://aqicn.org/city/foshan/
275,Zhanjiang,1543,http://aqicn.org/city/zhanjiang/
276,Zhongshan,1544,http://aqicn.org/city/zhongshan/
277,Jiangmen,1545,http://aqicn.org/city/jiangmen/
278,Zhaoqing,1546,http://aqicn.org/city/zhaoqing/
279,Dongguan,1547,http://aqicn.org/city/dongguan/
280,Huizhou,1548,http://aqicn.org/city/huizhou/
281,Shunde,1549,http://aqicn.org/city/shunde/
282,Heyuan,3513,http://aqicn.org/city/heyuan/
283,Qingyuan,3514,http://aqicn.org/city/qingyuan/
284,Chaozhou,4338,http://aqicn.org/city/chaozhou/
285,Jieyang,4339,http://aqicn.org/city/jieyang/
286,Maoming,4340,http://aqicn.org/city/maoming/
287,Meizhou,4341,http://aqicn.org/city/meizhou/
288,Shanwei,4342,http://aqicn.org/city/shanwei/
289,Yangjiang,4343,http://aqicn.org/city/yangjiang/
290,Yunfu,4344,http://aqicn.org/city/yunfu/
291,Guangzhou US,3305,http://aqicn.org/city/guangdong/guangzhou/us-consulate/
292,Chengdu US,3306,http://aqicn.org/city/chengdu/us-consulate/
293,Jinquan lianghe,1360,http://aqicn.org/city/china/chengdu/jinquanlianghe/
294,Shilidian,1361,http://aqicn.org/city/china/chengdu/shilidian/
295,Sanwayao,1362,http://aqicn.org/city/china/chengdu/sanwayao/
296,Shahepu,1363,http://aqicn.org/city/china/chengdu/shahepu/
297,Liang Lane,1364,http://aqicn.org/city/china/chengdu/liangjiaxiang/
298,Caotang Temple,1365,http://aqicn.org/city/china/chengdu/caotangsi/
299,People,1366,http://aqicn.org/city/china/chengdu/renmingongyuan/
300,Lingyansi,1367,http://aqicn.org/city/china/chengdu/lingyansi/
301,Fuleshan,3598,http://aqicn.org/city/china/mianyang/fuleshan/
302,Municipal People,3599,http://aqicn.org/city/china/mianyang/shirenda/
303,High,3600,http://aqicn.org/city/china/mianyang/gaoxinquzilaishuigongsi/
304,No,3601,http://aqicn.org/city/china/mianyang/sanshuichang/
305,Dongshan Park,3602,http://aqicn.org/city/china/deyang/dongshangongyuan/
306,Xixiaoqu,3603,http://aqicn.org/city/china/deyang/xixiaoqu/
307,City Procuratorate,3604,http://aqicn.org/city/china/deyang/shijianchayuan/
308,Refractory Factory,3605,http://aqicn.org/city/china/deyang/naihuocailiaochang/
309,Nongnongping,3606,http://aqicn.org/city/china/panzhihua/longlongping/
310,Hemenkou,3607,http://aqicn.org/city/china/panzhihua/hemenkou/
311,Bingcaogang,3608,http://aqicn.org/city/china/panzhihua/bingcaogang/
312,Renhe,3609,http://aqicn.org/city/china/panzhihua/renhe/
313,Jinjina,3610,http://aqicn.org/city/china/panzhihua/jinjiang/
314,Shima Middle,3611,http://aqicn.org/city/china/yibin/shimazhongxue/
315,Municipal party,3612,http://aqicn.org/city/china/yibin/shiwei/
316,No,3613,http://aqicn.org/city/china/yibin/yibinsizhong/
317,City government,3614,http://aqicn.org/city/china/yibin/shizhengfu/
318,Huangjinzui,3615,http://aqicn.org/city/china/yibin/huangjinzui/
319,Shaping Middle,3616,http://aqicn.org/city/china/yibin/shapingzhongxue/
320,Datang Hill,3617,http://aqicn.org/city/china/zigong/datangshan/
321,Yanma Road,3618,http://aqicn.org/city/china/zigong/yanmalu/
322,Tanmulin Street,3619,http://aqicn.org/city/china/zigong/tanmulinjie/
323,Chunhua Road,3620,http://aqicn.org/city/china/zigong/chunhualu/
324,Jiushi Hill,3621,http://aqicn.org/city/china/luzhou/jiushishan/
325,Xiaoshishang Port,3622,http://aqicn.org/city/china/luzhou/xiaoshishangmatou/
326,Lantianxian Bridge,3623,http://aqicn.org/city/china/luzhou/lantianxianqiao/
327,City Environment,3624,http://aqicn.org/city/china/luzhou/shihuanjianzhan/
328,X,3625,http://aqicn.org/city/china/nanchong/xishanfengjingqu/
329,City Committee,3626,http://aqicn.org/city/china/nanchong/nanchongshiwei/
330,Refinery Factory,3627,http://aqicn.org/city/china/nanchong/nanchonglianyouchang/
331,Gaoping District,3628,http://aqicn.org/city/china/nanchong/gaopingqujiancezhan/
332,Jialing District,3629,http://aqicn.org/city/china/nanchong/jialingquhuanbaoju/
333,City Environmental,3630,http://aqicn.org/city/china/nanchong/shihuanjingjiancezhan/
334,City Monitoring,5690,http://aqicn.org/city/china/najiang/shijiancezhan/
335,Dongxing District,5691,http://aqicn.org/city/china/najiang/dongxingquzhengfu/
336,No 2,5692,http://aqicn.org/city/china/najiang/najiangerzhong/
337,n,5693,http://aqicn.org/city/china/najiang/najiangribaoshe/
338,sh,5694,http://aqicn.org/city/china/suining/shixihao/
339,City Monitoring,5695,http://aqicn.org/city/china/suining/shijiancezhan/
340,Administrative center,5696,http://aqicn.org/city/china/suining/xingzhengzhongxin/
341,m,5697,http://aqicn.org/city/china/suining/meiningshipingongsi/
342,ni,5698,http://aqicn.org/city/china/leshan/niuerqiao/
343,sh,5699,http://aqicn.org/city/china/leshan/shidisanshuichang/
344,City Monitoring,5700,http://aqicn.org/city/china/leshan/shijiancezhan/
345,Leshan Giant,5701,http://aqicn.org/city/china/leshan/leshandafujingqu/
346,Heilongtan ,5702,http://aqicn.org/city/china/meishan/heilongtan/
347,Bureau of,5703,http://aqicn.org/city/china/meishan/qixiangju/
348,Xuguang Community,5704,http://aqicn.org/city/china/meishan/xuguangxiaoqu/
349,City Monitoring,5705,http://aqicn.org/city/china/meishan/shijiancezhan/
350,li,5706,http://aqicn.org/city/china/ziyang/lianhuashan/
351,Ziyang middle,5707,http://aqicn.org/city/china/ziyang/ziyangzhongxue/
352,s,5708,http://aqicn.org/city/china/ziyang/sisanyichang/
353,sh,5709,http://aqicn.org/city/china/ziyang/shifanxiao/
354,q,5710,http://aqicn.org/city/china/ziyang/qufayuan/
355,Xiaoping,7001,http://aqicn.org/city/china/guangan/xiaopingjiuji/
356,Municipal party,7002,http://aqicn.org/city/china/guangan/shiwei/
357,y,7003,http://aqicn.org/city/china/guangan/youyizhongxue/
358,R,7004,http://aqicn.org/city/china/guangan/rengonghu/
359,gu,7005,http://aqicn.org/city/china/guangan/guangdianhuayuan/
360,Daxing 526,7006,http://aqicn.org/city/china/yaan/daxing526tai/
361,Jianan plant,7007,http://aqicn.org/city/china/yaan/jiananchang/
362,City government,7008,http://aqicn.org/city/china/yaan/shizhengfu/
363,Sichuan Agricultural,7009,http://aqicn.org/city/china/yaan/chuannongda/
364,Dazhou Technical,7010,http://aqicn.org/city/china/dazhou/dazhouzhiyejishuxueyuan/
365,City Environmental,7011,http://aqicn.org/city/china/dazhou/shihuanjingjiancezhan/
366,f,7012,http://aqicn.org/city/china/dazhou/fenghuangxiaoqu/
367,d,7013,http://aqicn.org/city/china/dazhou/daxianjiguanbinguan/
368,Civic Center,7014,http://aqicn.org/city/china/dazhou/shizhengzhongxin/
369,Zigong,1556,http://aqicn.org/city/zigong/
